1;CONG TY CO PHAN VK FARM HOLDINGS;;;;;;;
2;CTCP CN & DT AN PHAT;;;;;;;
3;CTY CP YHB ECO VINA;;;;;;;
4;CTY CP TM VA DV THIEN PHUC HUNG;;;;;;;
5;CTY CP THIET KE LUC GIAC;;;;;;;
6;CTY TNHH TM&DV SIB VIET NAM;;;;;;;
7;CONG TY TNHH THIET BI CONG NGHE BINH MINH;;;;;;;
8;CONG TY CO PHAN EC;;;;;;;
9;CONG TY CO PHAN CONG NGHE PHU THANH;;;;;;;
10;CTY TNHH XUAT NHAP KHAU THUAN PHAT;;;;;;;
11;CTCP DAU TU VA XAY DUNG SO 34;;;;;;;
12;CONG TY CO PHAN SAN XUAT HAVITECH;;;;;;;
13;CONG TY TNHH QUOC TE VIET NAM AN DO;;;;;;;
14;CTY CP XNK IMTEX VIET NAM;;;;;;;
15;CTY TNHH CN VA TM NHAT ANH;;;;;;;
16;CT TNHH SAN XUAT LAP RAP TUAN NGHIA;;;;;;;
17;CTCP DV KY THUAT CONG NGHIEP HOA CHAT;;;;;;;
18;CTY CP IN HONG HA;;;;;;;
19;CONG TY TNHH YONGBEE VINA;;;;;;;
20;CONG TY CPDTTM VA XDPT THAI BINH DUONG;;;;;;;
21;CTCP THANG MAY FUJIALPHA;;;;;;;
22;CONG TY TNHH KHOANG SAN TRI DUNG;;;;;;;
23;CONG TY TNHH THIET BI PCCC VU HOANG;;;;;;;
24;CTCP THUC PHAM CAO CAP NAM THAI;;;;;;;
25;CTY CP DATYSO VIET NAM;;;;;;;
26;CTY TNHH TM VA PT CONG NGHE THANH AN;;;;;;;
27;CTCP DAU TU VA THUONG MAI MEC VIET NAM;;;;;;;
28;CTCP CONG NGHIEP VA TM PHUONG BAC;;;;;;;
29;CTY TNHH TM VA DV CONG NGHE MOI VIET MY;;;;;;;
30;CONG TY CP DT CONG NGHE NGOI SAO CHAU A;;;;;;;
31;CONG TY CP KY THUAT NHIET LANH HANTHUCO;;;;;;;
32;CONG TY TNHH DUOC PHAM STABLED;;;;;;;
33;CTY CP TM & DT CONG NGHE ANH EM;;;;;;;
34;CTY CP CONG NGHE CYBER EYE;;;;;;;
35;CONG TY CO PHAN SOLAR VIET NAM;;;;;;;
36;CTY TNHH THUC PHAM H.E.R.O;;;;;;;
37;CTCP DT VA CONG NGHE BAC HA;;;;;;;
38;CONG TY TNHH QUOC MINH;;;;;;;
